,Country,GDP,Year
1960,Australia,18577668272.0,1960
1961,Australia,19652816665.0,1961
1962,Australia,19892485161.0,1962
1963,Australia,21507447643.0,1963
1964,Australia,23764139321.0,1964
1965,Australia,25936835032.0,1965
1966,Australia,27268451114.0,1966
1967,Australia,30397580916.0,1967
1968,Australia,32665472057.0,1968
1969,Australia,36628961810.0,1969
1970,Australia,41271138985.0,1970
1971,Australia,45149512823.0,1971
1972,Australia,51967289720.0,1972
1973,Australia,63737347854.0,1973
1974,Australia,88831245394.0,1974
1975,Australia,97171924075.0,1975
1976,Australia,104921000000.0,1976
1977,Australia,110202000000.0,1977
1978,Australia,118339000000.0,1978
1979,Australia,134712000000.0,1979
1980,Australia,149776000000.0,1980
1981,Australia,176642000000.0,1981
1982,Australia,193770000000.0,1982
1983,Australia,177030000000.0,1983
1984,Australia,193242000000.0,1984
1985,Australia,180235000000.0,1985
1986,Australia,182037000000.0,1986
1987,Australia,189062000000.0,1987
1988,Australia,235658000000.0,1988
1989,Australia,299272000000.0,1989
1990,Australia,310781000000.0,1990
1991,Australia,325316000000.0,1991
1992,Australia,324884000000.0,1992
1993,Australia,311549000000.0,1993
1994,Australia,322214000000.0,1994
1995,Australia,367216000000.0,1995
1996,Australia,400303000000.0,1996
1997,Australia,434568000000.0,1997
1998,Australia,398899000000.0,1998
1999,Australia,388608000000.0,1999
2000,Australia,415223000000.0,2000
2001,Australia,378376000000.0,2001
2002,Australia,394649000000.0,2002
2003,Australia,466488000000.0,2003
2004,Australia,612490000000.0,2004
2005,Australia,693408000000.0,2005
2006,Australia,746054000000.0,2006
2007,Australia,853100000000.0,2007
2008,Australia,1054000000000.0,2008
2009,Australia,927805000000.0,2009
2010,Australia,1146140000000.0,2010
2011,Australia,1396650000000.0,2011
2012,Australia,1546150000000.0,2012
2013,Australia,1576180000000.0,2013
2014,Australia,1467480000000.0,2014
2015,Australia,1351690000000.0,2015
2016,Australia,1208850000000.0,2016
2017,Australia,1329190000000.0,2017
2018,Australia,1432880000000.0,2018
2019,Australia,1396570000000.0,2019
2020,Australia,1330900000000.0,2020
1960,Canada,40461721693.0,1960
1961,Canada,40934952064.0,1961
1962,Canada,42227447632.0,1962
1963,Canada,45029988561.0,1963
1964,Canada,49377522897.0,1964
1965,Canada,54515179581.0,1965
1966,Canada,61088384037.0,1966
1967,Canada,65668655501.0,1967
1968,Canada,71829810520.0,1968
1969,Canada,79148411662.0,1969
1970,Canada,87896095320.0,1970
1971,Canada,99271961775.0,1971
1972,Canada,113083000000.0,1972
1973,Canada,131322000000.0,1973
1974,Canada,160409000000.0,1974
1975,Canada,173834000000.0,1975
1976,Canada,206576000000.0,1976
1977,Canada,211612000000.0,1977
1978,Canada,218633000000.0,1978
1979,Canada,243072000000.0,1979
1980,Canada,273854000000.0,1980
1981,Canada,306215000000.0,1981
1982,Canada,313507000000.0,1982
1983,Canada,340548000000.0,1983
1984,Canada,355373000000.0,1984
1985,Canada,364756000000.0,1985
1986,Canada,377438000000.0,1986
1987,Canada,431317000000.0,1987
1988,Canada,507354000000.0,1988
1989,Canada,565056000000.0,1989
1990,Canada,593930000000.0,1990
1991,Canada,610328000000.0,1991
1992,Canada,592388000000.0,1992
1993,Canada,577171000000.0,1993
1994,Canada,578139000000.0,1994
1995,Canada,604032000000.0,1995
1996,Canada,628546000000.0,1996
1997,Canada,654987000000.0,1997
1998,Canada,634000000000.0,1998
1999,Canada,678412000000.0,1999
2000,Canada,744773000000.0,2000
2001,Canada,738982000000.0,2001
2002,Canada,760649000000.0,2002
2003,Canada,895541000000.0,2003
2004,Canada,1026690000000.0,2004
2005,Canada,1173110000000.0,2005
2006,Canada,1319260000000.0,2006
2007,Canada,1468820000000.0,2007
2008,Canada,1552990000000.0,2008
2009,Canada,1374630000000.0,2009
2010,Canada,1617340000000.0,2010
2011,Canada,1793330000000.0,2011
2012,Canada,1828370000000.0,2012
2013,Canada,1846600000000.0,2013
2014,Canada,1805750000000.0,2014
2015,Canada,1556510000000.0,2015
2016,Canada,1527990000000.0,2016
2017,Canada,1649270000000.0,2017
2018,Canada,1721850000000.0,2018
2019,Canada,1741580000000.0,2019
2020,Canada,1643410000000.0,2020
